,id,html_url,name,locale,links_clean,Status,Repeated
25,360012150493,https://help.doodle.com/hc/en-us/articles/360012150493-What-forms-of-payment-do-you-accept-for-Doodle-Professional-,What forms of payment do you accept for Doodle Professional?,en-us,https://doodle.com/en/contact/sales/,200,False
26,360022855013,https://help.doodle.com/hc/en-us/articles/360022855013-Doodle-app-How-does-the-app-manage-time-zones-,Doodle app: How does the app manage time zones?,en-us,https://help.doodle.com/hc/en-us/articles/360012047914,200,False
27,360019903079,https://help.doodle.com/hc/en-us/articles/360019903079-How-do-I-participate-in-a-1-1-,How do I participate in a 1:1?,en-us,https://help.doodle.com/hc/en-us/articles/360019903039,200,False
28,360012149913,https://help.doodle.com/hc/en-us/articles/360012149913-I-edited-my-group-poll-and-it-now-shows-question-marks-all-over-the-table,I edited my group poll and it now shows question marks all over the table,en-us,https://help.doodle.com/hc/en-us/articles/360019827500-How-do-I-change-my-vote-in-a-group-poll-,200,False
29,360012047534,https://help.doodle.com/hc/en-us/articles/360012047534-Do-you-offer-tailored-solutions-for-large-companies-and-enterprise-customers-,Do you offer tailored solutions for large companies and enterprise customers?,en-us,https://doodle.com/en/premium,200,False
29,360012047534,https://help.doodle.com/hc/en-us/articles/360012047534-Do-you-offer-tailored-solutions-for-large-companies-and-enterprise-customers-,Do you offer tailored solutions for large companies and enterprise customers?,en-us,https://doodle.com/en/contact/sales/,200,True
30,360012150793,https://help.doodle.com/hc/en-us/articles/360012150793-Is-it-possible-to-embed-Doodle-in-my-website-,Is it possible to embed Doodle in my website?,en-us,https://doodle.com/en/premium,200,False
31,360012047614,https://help.doodle.com/hc/en-us/articles/360012047614-I-lost-my-admin-link-Can-you-send-it-to-me-again-,I lost my admin link!  Can you send it to me again?,en-us,https://doodle.com/auth/realms/doodle/protocol/openid-connect/registrations?client_id=web-static-site&redirect_uri=https%3A%2F%2Fdoodle.com%2Fdashboard&state=db2f61d9-9112-4793-82b0-bdebe58666c1&response_mode=fragment&response_type=none&scope=openid&nonce=81b25197-caca-4571-8484-412b921ab7f6&code_challenge=encEiOfxKnrp8fVZmv7mGKDsEo3CgW5jAK1XMbY86w4&code_challenge_method=S256,200,False
32,4403074449938,https://help.doodle.com/hc/en-us/articles/4403074449938-How-do-I-disable-my-booking-page-,How do I disable my booking page?,en-us,http://www.doodle.com/dashboard,200,False
32,4403074449938,https://help.doodle.com/hc/en-us/articles/4403074449938-How-do-I-disable-my-booking-page-,How do I disable my booking page?,en-us,http://www.doodle.com/dashboard,200,True
33,360039621093,https://help.doodle.com/hc/en-us/articles/360039621093-Which-Doodle-events-will-sync-to-my-connected-calendar-,Which Doodle events will sync to my connected calendar?,en-us,https://help.doodle.com/hc/en-us/articles/360012048494,200,False
34,4406330705426,https://help.doodle.com/hc/en-us/articles/4406330705426-How-do-I-add-a-host-to-my-booking-page-or-book-on-behalf-of-others-,"How do I add a host to my booking page, or book on behalf of others?",en-us,#h_01GF3BXX1Z06892EG4YM7193YH,Not a URL,False
34,4406330705426,https://help.doodle.com/hc/en-us/articles/4406330705426-How-do-I-add-a-host-to-my-booking-page-or-book-on-behalf-of-others-,"How do I add a host to my booking page, or book on behalf of others?",en-us,#h_01GF3BYBHX9T02P14KW52B4ZQ0,Not a URL,False
34,4406330705426,https://help.doodle.com/hc/en-us/articles/4406330705426-How-do-I-add-a-host-to-my-booking-page-or-book-on-behalf-of-others-,"How do I add a host to my booking page, or book on behalf of others?",en-us,https://help.doodle.com/hc/en-us/articles/4403074353554,200,False
34,4406330705426,https://help.doodle.com/hc/en-us/articles/4406330705426-How-do-I-add-a-host-to-my-booking-page-or-book-on-behalf-of-others-,"How do I add a host to my booking page, or book on behalf of others?",en-us,https://help.doodle.com/hc/en-us/articles/4403074353554,200,True
34,4406330705426,https://help.doodle.com/hc/en-us/articles/4406330705426-How-do-I-add-a-host-to-my-booking-page-or-book-on-behalf-of-others-,"How do I add a host to my booking page, or book on behalf of others?",en-us,https://doodle.com/en/premium,200,True
34,4406330705426,https://help.doodle.com/hc/en-us/articles/4406330705426-How-do-I-add-a-host-to-my-booking-page-or-book-on-behalf-of-others-,"How do I add a host to my booking page, or book on behalf of others?",en-us,https://help.doodle.com/hc/en-us/articles/360012048494,200,True
35,360019865800,https://help.doodle.com/hc/en-us/articles/360019865800-How-do-I-send-out-a-calendar-invitation-to-my-booked-1-1-event-,How do I send out a calendar invitation to my booked 1:1 event?,en-us,https://help.doodle.com/hc/en-us/articles/360012048494,200,False
36,360012150293,https://help.doodle.com/hc/en-us/articles/360012150293-Is-it-possible-to-use-an-existing-group-poll-as-a-template-duplicate-a-group-poll-,Is it possible to use an existing group poll as a template / duplicate a group poll?,en-us,https://doodle.com/premium,200,False
37,4407784545682,https://help.doodle.com/hc/en-us/articles/4407784545682-Permitted-Use-Policy,Permitted Use Policy,en-us,https://doodle.com/privacy-policy,200,False
38,360012150933,https://help.doodle.com/hc/en-us/articles/360012150933-How-do-I-activate-my-account-verify-my-email-address-,How do I activate my account / verify my email address?,en-us,https://help.doodle.com/hc/en-us/articles/360012149873-Why-don-t-I-receive-any-e-mails-from-Doodle-,200,False
38,360012150933,https://help.doodle.com/hc/en-us/articles/360012150933-How-do-I-activate-my-account-verify-my-email-address-,How do I activate my account / verify my email address?,en-us,https://doodle.com/auth/realms/doodle/login-actions/reset-credentials?client_id=web-static-site&tab_id=3aUIgjG2nLA,200,True
39,360019827560,https://help.doodle.com/hc/en-us/articles/360019827560-How-do-I-send-out-a-calendar-invitation-to-my-booked-group-poll-,How do I send out a calendar invitation to my booked group poll?,en-us,https://help.doodle.com/hc/en-us/articles/360012048494,200,False
40,360019902939,https://help.doodle.com/hc/en-us/articles/360019902939-How-do-I-create-a-1-1-,How do I create a 1:1?,en-us,https://doodle.com/en/premium,200,False
40,360019902939,https://help.doodle.com/hc/en-us/articles/360019902939-How-do-I-create-a-1-1-,How do I create a 1:1?,en-us,https://doodle.com/settings/,200,False
40,360019902939,https://help.doodle.com/hc/en-us/articles/360019902939-How-do-I-create-a-1-1-,How do I create a 1:1?,en-us,https://doodle.com/settings/,200,True
41,360019611759,https://help.doodle.com/hc/en-us/articles/360019611759-How-do-I-add-a-Google-Meet-link-to-my-meetings-,How do I add a Google Meet link to my meetings?,en-us,https://help.doodle.com/hc/en-us/articles/360012048494,200,False
42,360019452079,https://help.doodle.com/hc/en-us/articles/360019452079-How-do-I-change-user-roles-in-the-admin-settings-,How do I change user roles in the admin settings?,en-us,https://help.doodle.com/hc/en-us/requests/new,200,False
43,4416145159186,https://help.doodle.com/hc/en-us/articles/4416145159186-How-do-I-become-a-member-of-my-company-s-Team-or-Enterprise-subscription-,How do I become a member of my company's Team or Enterprise subscription?,en-us,https://help.doodle.com/hc/en-us/articles/360019391360,200,False
43,4416145159186,https://help.doodle.com/hc/en-us/articles/4416145159186-How-do-I-become-a-member-of-my-company-s-Team-or-Enterprise-subscription-,How do I become a member of my company's Team or Enterprise subscription?,en-us,https://doodle.com/auth/realms/doodle/protocol/openid-connect/auth?client_id=web-unified-dashboard&redirect_uri=https%3A%2F%2Fdoodle.com%2Fdashboard&state=23ab5113-5885-4fcb-bfe0-50882760a1ef&response_mode=fragment&response_type=code&scope=openid&nonce=8a7b57ff-bd06-413e-875b-f8788ba1e4b5&code_challenge=cUDWIvM5RV5_60B01Zur2t-hzOxYLEl8yfvqHTnf8Co&code_challenge_method=S256,200,False
43,4416145159186,https://help.doodle.com/hc/en-us/articles/4416145159186-How-do-I-become-a-member-of-my-company-s-Team-or-Enterprise-subscription-,How do I become a member of my company's Team or Enterprise subscription?,en-us,https://help.doodle.com/hc/en-us/requests/new,200,True
44,360019452019,https://help.doodle.com/hc/en-us/articles/360019452019-Viewing-your-subscription-details-and-invoices,Viewing your subscription details and invoices,en-us,#h_01F78KF06CNYDGVG5QJCPGQW0H,Not a URL,False
44,360019452019,https://help.doodle.com/hc/en-us/articles/360019452019-Viewing-your-subscription-details-and-invoices,Viewing your subscription details and invoices,en-us,#h_01F78KMR3QCAS8JAEK4S8KP1TH,Not a URL,False
44,360019452019,https://help.doodle.com/hc/en-us/articles/360019452019-Viewing-your-subscription-details-and-invoices,Viewing your subscription details and invoices,en-us,https://help.doodle.com/hc/en-us/requests/new,200,False
45,360019902999,https://help.doodle.com/hc/en-us/articles/360019902999-How-do-I-schedule-1-1s-with-several-people-,How do I schedule 1:1s with several people?,en-us,https://help.doodle.com/hc/en-us/articles/360019902939,200,False
45,360019902999,https://help.doodle.com/hc/en-us/articles/360019902999-How-do-I-schedule-1-1s-with-several-people-,How do I schedule 1:1s with several people?,en-us,https://help.doodle.com/hc/en-us/articles/360019827120,200,True
46,360021401914,https://help.doodle.com/hc/en-us/articles/360021401914-Issues-with-the-iOS-App-Basic-Troubleshooting,Issues with the iOS App: Basic Troubleshooting,en-us,https://help.doodle.com/hc/en-us/requests/new,200,False
47,360018096380,https://help.doodle.com/hc/en-us/articles/360018096380-Where-do-I-find-the-password-for-my-Zoom-meeting-,Where do I find the password for my Zoom meeting?,en-us,https://doodle.com/settings/integrations,200,False
47,360018096380,https://help.doodle.com/hc/en-us/articles/360018096380-Where-do-I-find-the-password-for-my-Zoom-meeting-,Where do I find the password for my Zoom meeting?,en-us,https://www.zoom.us/signin,200,False
